epsilon,U,U_xi
0.01,6.287721556031554e-05,6.319723676693281e-05
0.01,6.300373712255124e-05,6.332440227626896e-05
0.01,6.313051326929279e-05,6.345182366585193e-05
0.01,6.325754451766863e-05,6.357950145544211e-05
0.01,6.338483138480746e-05,6.370743616480026e-05
0.01,6.351237438783761e-05,6.383562831368666e-05
0.01,6.364017404388776e-05,6.396407842186205e-05
0.01,6.376823087008634e-05,6.409278700908683e-05
0.01,6.389654538356177e-05,6.422175459512141e-05
0.01,6.402511810144277e-05,6.435098169972655e-05
0.01,6.41539495408577e-05,6.44804688426626e-05
0.01,6.428304021893503e-05,6.461021654369001e-05
0.01,6.441239065280345e-05,6.474022532256952e-05
0.01,6.454200135959127e-05,6.487049569906137e-05
0.01,6.46718728564272e-05,6.500102819292638e-05
0.01,6.48020056610349e-05,6.513182332452314e-05
0.01,6.493240030043052e-05,6.526288162355016e-05
0.01,6.506305730888184e-05,6.53942036269945e-05
0.01,6.519397722084249e-05,6.552578987202997e-05
0.01,6.532516057076613e-05,6.565764089583033e-05
0.01,6.545660789310669e-05,6.578975723556977e-05
0.01,6.55883197223177e-05,6.592213942842197e-05
0.01,6.57202965928531e-05,6.605478801156109e-05
0.01,6.585253903916653e-05,6.618770352216092e-05
0.01,6.598504759571163e-05,6.632088649739528e-05
0.01,6.611782279694233e-05,6.645433747443834e-05
0.01,6.625086517731228e-05,6.658805699046387e-05
0.01,6.638417527127511e-05,6.672204558264569e-05
0.01,6.651775361328476e-05,6.685630378815798e-05
0.01,6.665160073779474e-05,6.699083214417439e-05
0.01,6.678571717925907e-05,6.71256311878691e-05
0.01,6.692010347215131e-05,6.7260701456436e-05
0.01,6.705476015601101e-05,6.73960434921607e-05
0.01,6.718968778168883e-05,6.75316578486975e-05
0.01,6.73248869015441e-05,6.766754508121702e-05
0.01,6.74603580679361e-05,6.780370574488987e-05
0.01,6.759610183322444e-05,6.794014039488702e-05
0.01,6.773211874976831e-05,6.807684958637895e-05
0.01,6.786840936992736e-05,6.82138338745366e-05
0.01,6.800497424606088e-05,6.835109381453063e-05
0.01,6.814181393052816e-05,6.848862996153161e-05
0.01,6.827892897568883e-05,6.862644287071051e-05
0.01,6.841631993390221e-05,6.876453309723795e-05
0.01,6.855398735752754e-05,6.890290119628452e-05
0.01,6.86919317989245e-05,6.90415477230212e-05
0.01,6.883015381045224e-05,6.918047323261845e-05
0.01,6.896865394447043e-05,6.931967828024728e-05
0.01,6.910743275333833e-05,6.945916342107825e-05
0.01,6.924649079102316e-05,6.95989292118981e-05
0.01,6.938582862323776e-05,6.973897622129892e-05
0.01,6.952544682082797e-05,6.987930502303198e-05
0.01,6.966534595465868e-05,7.00199161908677e-05
0.01,6.980552659559509e-05,7.016081029857674e-05
0.01,6.994598931450188e-05,7.030198791992932e-05
0.01,7.00867346822443e-05,7.04434496286962e-05
0.01,7.022776326968719e-05,7.058519599864772e-05
0.01,7.036907564769537e-05,7.07272276035542e-05
0.01,7.051067238713408e-05,7.086954501718639e-05
0.01,7.065255405886801e-05,7.101214881331449e-05
0.01,7.079472123376238e-05,7.115503956570924e-05
0.01,7.093717448268206e-05,7.129821784814097e-05
0.01,7.107991437649186e-05,7.144168423438005e-05
0.01,7.1222941486057e-05,7.15854392981972e-05
0.01,7.136625638224232e-05,7.172948361336274e-05
0.01,7.150985963613025e-05,7.187381775386572e-05
0.01,7.1653751826917e-05,7.20184423018503e-05
0.01,7.179793354396222e-05,7.216335784967568e-05
0.01,7.19424053772566e-05,7.23085649903355e-05
0.01,7.208716791679056e-05,7.2454064316823e-05
0.01,7.223222175255447e-05,7.259985642213137e-05
0.01,7.237756747453911e-05,7.274594189925428e-05
0.01,7.252320567273486e-05,7.289232134118494e-05
0.01,7.26691369371321e-05,7.30389953409166e-05
0.01,7.28153618577216e-05,7.318596449144282e-05
0.01,7.29618810244936e-05,7.333322938575677e-05
0.01,7.310869502743887e-05,7.348079061685205e-05
0.01,7.325580445654783e-05,7.362864877772189e-05
0.01,7.340320990181082e-05,7.37768044613595e-05
0.01,7.35509119532186e-05,7.392525826075854e-05
0.01,7.369891120076158e-05,7.407401076891222e-05
0.01,7.384720823442914e-05,7.42230625788128e-05
0.01,7.399580364769573e-05,7.437241428695524e-05
0.01,7.414469804724148e-05,7.452206650310755e-05
0.01,7.429389204282351e-05,7.467201984013028e-05
0.01,7.44433862441985e-05,7.482227491088354e-05
0.01,7.45931812611231e-05,7.497283232822747e-05
0.01,7.474327770335442e-05,7.512369270502263e-05
0.01,7.489367618064914e-05,7.527485665412913e-05
0.01,7.504437730276394e-05,7.542632478840713e-05
0.01,7.519538167945586e-05,7.557809772071715e-05
0.01,7.53466899204815e-05,7.57301760639192e-05
0.01,7.549830263559791e-05,7.588256043087383e-05
0.01,7.565022043456181e-05,7.603525143444115e-05
0.01,7.580244392712983e-05,7.618824968748131e-05
0.01,7.595497372305906e-05,7.634155580285485e-05
0.01,7.610781043210621e-05,7.649517039342194e-05
0.01,7.626095466402794e-05,7.664909407204264e-05
0.01,7.641440702940743e-05,7.680332745240786e-05
0.01,7.656816815015555e-05,7.695787115959372e-05
0.01,7.672223865628847e-05,7.711272582682303e-05
0.01,7.687661917799142e-05,7.72678920874884e-05
0.01,7.703131034544958e-05,7.742337057498248e-05
0.01,7.718631278884858e-05,7.75791619226983e-05
0.01,7.73416271383736e-05,7.773526676402852e-05
0.01,7.74972540242099e-05,7.789168573236578e-05
0.01,7.765319407654305e-05,7.804841946110311e-05
0.01,7.780944792555816e-05,7.820546858363302e-05
0.01,7.79660162014408e-05,7.836283373334859e-05
0.01,7.812289953437621e-05,7.85205155436424e-05
0.01,7.828009855454957e-05,7.867851464790714e-05
0.01,7.843761389214654e-05,7.883683167953584e-05
0.01,7.85954461773523e-05,7.899546727192113e-05
0.01,7.875359604035203e-05,7.915442205845566e-05
0.01,7.891206411137064e-05,7.931369667257194e-05
0.01,7.907085102705522e-05,7.94732917541574e-05
0.01,7.922995743713651e-05,7.963320795624966e-05
0.01,7.938938399291264e-05,7.979344593346177e-05
0.01,7.954913134568176e-05,7.995400634040676e-05
0.01,7.970920014674242e-05,8.011488983169808e-05
0.01,7.986959104739278e-05,8.027609706194877e-05
0.01,8.003030469893098e-05,8.043762868577189e-05
0.01,8.019134175265559e-05,8.059948535778087e-05
0.01,8.03527028598646e-05,8.07616677325886e-05
0.01,8.051438867185658e-05,8.092417646480856e-05
0.01,8.067639983992966e-05,8.108701220905379e-05
0.01,8.083873701538201e-05,8.12501756199373e-05
0.01,8.100140084951219e-05,8.141366735207256e-05
0.01,8.116439199361835e-05,8.15774880600726e-05
0.01,8.13277110989986e-05,8.174163839855048e-05
0.01,8.149135881695153e-05,8.190611902211963e-05
0.01,8.165533580091315e-05,8.207093058754183e-05
0.01,8.181964271838997e-05,8.223607376572102e-05
0.01,8.198428024248844e-05,8.240154923318953e-05
0.01,8.214924904632701e-05,8.256735766649172e-05
0.01,8.231454980302453e-05,8.273349974217243e-05
0.01,8.24801831856994e-05,8.2899976136776e-05
0.01,8.264614986747006e-05,8.306678752684684e-05
0.01,8.281245052145535e-05,8.323393458892975e-05
0.01,8.297908582077359e-05,8.340141799956893e-05
0.01,8.31460564385436e-05,8.356923843530923e-05
0.01,8.33133630478838e-05,8.373739657269499e-05
0.01,8.348100632191261e-05,8.390589308827062e-05
0.01,8.364898693374893e-05,8.407472865858091e-05
0.01,8.381730555651112e-05,8.424390396017024e-05
0.01,8.398596286331764e-05,8.441341966958295e-05
0.01,8.415495952728733e-05,8.458327646336391e-05
0.01,8.432429622186281e-05,8.475347501838325e-05
0.01,8.449397363053857e-05,8.492401602161434e-05
0.01,8.466399244835997e-05,8.509490017163998e-05
0.01,8.483435337099675e-05,8.526612816767074e-05
0.01,8.50050570941191e-05,8.543770070891747e-05
0.01,8.517610431339675e-05,8.560961849459067e-05
0.01,8.534749572449942e-05,8.578188222390081e-05
0.01,8.551923202309734e-05,8.595449259605882e-05
0.01,8.569131390486009e-05,8.612745031027501e-05
0.01,8.586374206545784e-05,8.63007560657603e-05
0.01,8.603651720056035e-05,8.64744105617252e-05
0.01,8.620964000583732e-05,8.664841449738015e-05
0.01,8.6383111176959e-05,8.682276857193606e-05
0.01,8.655693140959508e-05,8.699747348460345e-05
0.01,8.673110139941532e-05,8.717252993459273e-05
0.01,8.69056218420899e-05,8.734793862111488e-05
0.01,8.708049343328701e-05,8.75237002433788e-05
0.01,8.725571687319529e-05,8.769981550513682e-05
0.01,8.743129287751751e-05,8.787628512573446e-05
0.01,8.760722216523024e-05,8.805310982780765e-05
