epsilon,U,U_xi
0.01,0.0008543975614249934,0.0008587462947173205
0.01,0.0008561167810245926,0.0008604742655459498
0.01,0.0008578394601624925,0.0008622057135269954
0.01,0.0008595656058245367,0.0008639406456818954
0.01,0.0008612952249965696,0.0008656790690320888
0.01,0.0008630283246644335,0.0008674209905990118
0.01,0.0008647649118139731,0.0008691664174041037
0.01,0.000866504993431032,0.000870915356468802
0.01,0.0008682485765014546,0.0008726678148145456
0.01,0.0008699956680110833,0.0008744237994627714
0.01,0.0008717462749457625,0.0008761833174349179
0.01,0.0008735004042913361,0.0008779463757524232
0.01,0.0008752580630387664,0.0008797129814418701
0.01,0.0008770192582931079,0.0008814831416445158
0.01,0.0008787839972698365,0.0008832568636126035
0.01,0.0008805522871888426,0.0008850341546028128
0.01,0.000882324135270017,0.0008868150218718241
0.01,0.0008840995487332479,0.0008885994726763154
0.01,0.0008858785347984263,0.0008903875142729674
0.01,0.0008876611006854425,0.0008921791539184592
0.01,0.0008894472536141871,0.0008939743988694716
0.01,0.0008912370008045488,0.0008957732563826828
0.01,0.0008930303494764182,0.0008975757337147728
0.01,0.0008948273068496856,0.0008993818381224213
0.01,0.0008966278801442418,0.0009011915768623089
0.01,0.0008984320765799753,0.0009030049571911136
0.01,0.0009002399033767769,0.0009048219863655158
0.01,0.0009020513677545366,0.0009066426716421951
0.01,0.0009038664769331768,0.0009084670202778635
0.01,0.000905685238188685,0.0009102950395855843
0.01,0.0009075076589554733,0.0009121267370376548
0.01,0.0009093337466953193,0.0009139621201338781
0.01,0.0009111635088700019,0.0009158011963740578
0.01,0.0009129969529412967,0.0009176439732579951
0.01,0.0009148340863709829,0.0009194904582854937
0.01,0.0009166749166208376,0.0009213406589563566
0.01,0.0009185194511526389,0.0009231945827703863
0.01,0.0009203676974281651,0.0009250522372273869
0.01,0.0009222196629091925,0.0009269136298271596
0.01,0.0009240753550574997,0.0009287787680695078
0.01,0.0009259347813348641,0.0009306476594542348
0.01,0.0009277979492030646,0.000932520311481144
0.01,0.0009296648661238771,0.0009343967316500366
0.01,0.0009315355395590802,0.0009362769274607164
0.01,0.0009334099769704516,0.0009381609064129864
0.01,0.0009352881858354875,0.0009400486760224475
0.01,0.0009371701737824081,0.0009419402439561962
0.01,0.0009390559485221842,0.0009438356179645008
0.01,0.000940945517766585,0.0009457348057984333
0.01,0.0009428388892273807,0.0009476378152090665
0.01,0.0009447360706163392,0.0009495446539474703
0.01,0.0009466370696452308,0.0009514553297647176
0.01,0.0009485418940258248,0.0009533698504118805
0.01,0.0009504505514698917,0.0009552882236400314
0.01,0.0009523630496891991,0.0009572104572002407
0.01,0.0009542793963955173,0.0009591365588435812
0.01,0.0009561995993006157,0.0009610665363211246
0.01,0.0009581236661162648,0.0009630003973839437
0.01,0.000960051604554232,0.0009649381497831087
0.01,0.0009619834223262879,0.0009668798012696925
0.01,0.000963919127144202,0.0009688253595947668
0.01,0.0009658587267212256,0.0009707748325108934
0.01,0.0009678022288660979,0.0009727282278666087
0.01,0.0009697496415362895,0.0009746855536599414
0.01,0.0009717009727019368,0.0009766468179016514
0.01,0.0009736562303331778,0.0009786120286024989
0.01,0.0009756154224001476,0.0009805811937732421
0.01,0.0009775785568729833,0.000982554321424641
0.01,0.0009795456417218222,0.0009845314195674557
0.01,0.0009815166849168016,0.0009865124962124465
0.01,0.0009834916944280565,0.0009884975593703715
0.01,0.0009854706782257247,0.000990486617051991
0.01,0.0009874536442799427,0.0009924796772680647
0.01,0.0009894406005608483,0.0009944767480293533
0.01,0.0009914315550385764,0.000996477837346614
0.01,0.000993426515683265,0.0009984829532306086
0.01,0.00099542549046505,0.0010004921036920952
0.01,0.0009974284873540697,0.0010025052967418356
0.01,0.0009994355143569946,0.001004522540427309
0.01,0.0010014465796580531,0.0010065438429744612
0.01,0.001003461691494404,0.001008569212662439
0.01,0.0010054808581032076,0.0010105986577703908
0.01,0.0010075040877216236,0.0010126321865774636
0.01,0.0010095313885868117,0.0010146698073628063
0.01,0.0010115627689359333,0.0010167115284055674
0.01,0.001013598237006149,0.0010187573579848951
0.01,0.0010156378010346175,0.0010208073043799367
0.01,0.0010176814692584998,0.001022861375869841
0.01,0.0010197292499149562,0.0010249195807337564
0.01,0.001021781151241148,0.0010269819272508316
0.01,0.0010238371814742329,0.0010290484237002132
0.01,0.001025897348851373,0.0010311190783610506
0.01,0.001027961661609728,0.0010331938995124916
0.01,0.0010300301279864592,0.0010352728954336854
0.01,0.001032102756226016,0.0010373560744111063
0.01,0.001034179554712921,0.001039443444872019
0.01,0.0010362605319560957,0.0010415350153687212
0.01,0.00103834569646867,0.0010436307944577425
0.01,0.001040435056763772,0.001045730790695611
0.01,0.0010425286213545334,0.0010478350126388568
0.01,0.0010446263987540837,0.0010499434688440086
0.01,0.001046728397475554,0.0010520561678675966
0.01,0.001048834626032072,0.0010541731182661482
0.01,0.0010509450929367691,0.0010562943285961934
0.01,0.001053059806702775,0.0010584198074142616
0.01,0.0010551787758432208,0.0010605495632768826
0.01,0.0010573020088712345,0.0010626836047405842
0.01,0.0010594295142999468,0.0010648219403618959
0.01,0.001061561300642488,0.001066964578697347
0.01,0.0010636973764119892,0.001069111528303468
0.01,0.0010658377501216914,0.0010712627977368995
0.01,0.0010679824303566616,0.0010734183956264756
0.01,0.0010701314258864637,0.0010755783307864707
0.01,0.0010722847455094447,0.0010777426120600897
0.01,0.001074442398023948,0.0010799112482905346
0.01,0.0010766043922283207,0.0010820842483210103
0.01,0.001078770736920908,0.0010842616209947205
0.01,0.001080941440900057,0.0010864433751548704
0.01,0.001083116512964111,0.001088629519644661
0.01,0.001085295961911417,0.0010908200633072981
0.01,0.0010874797965403206,0.001093015014985985
0.01,0.0010896680256491684,0.0010952143835239268
0.01,0.001091860658036304,0.0010974181777643254
0.01,0.0010940577025000747,0.0010996264065503852
0.01,0.0010962591678388256,0.0011018390787253106
0.01,0.0010984650628509034,0.0011040562031323063
0.01,0.0011006753963346521,0.0011062777886145737
0.01,0.001102890177109601,0.0011085038440366093
0.01,0.001105109414177057,0.0011107343784456157
0.01,0.0011073331166295073,0.001112969400980444
0.01,0.0011095612935600669,0.001115208920780575
0.01,0.0011117939540618545,0.0011174529469854943
0.01,0.0011140311072279866,0.0011197014887346847
0.01,0.0011162727621515818,0.0011219545551676322
0.01,0.0011185189279257555,0.0011242121554238173
0.01,0.001120769613643625,0.001126474298642725
0.01,0.0011230248283983087,0.0011287409939638392
0.01,0.0011252845812829238,0.0011310122505266446
0.01,0.0011275488813905854,0.001133288077470623
0.01,0.0011298177378144124,0.0011355684839352588
0.01,0.0011320911596475215,0.0011378534790600359
0.01,0.0011343691559830308,0.001140143071984439
0.01,0.001136651735914056,0.0011424372718479498
0.01,0.0011389389085360584,0.001144736087792408
0.01,0.0011412306830637766,0.0011470395290795418
0.01,0.0011435270688821518,0.0011493476051421517
0.01,0.0011458280753889462,0.0011516603254259259
0.01,0.0011481337119819254,0.0011539776993765565
0.01,0.0011504439880588543,0.001156299736439734
0.01,0.0011527589130174982,0.0011586264460611497
0.01,0.0011550784962556196,0.0011609578376864927
0.01,0.0011574027471709842,0.0011632939207614538
0.01,0.001159731675161357,0.0011656347047317244
0.01,0.0011620652896245027,0.0011679801990429957
0.01,0.0011644035999581845,0.0011703304131409564
0.01,0.0011667466155601677,0.0011726853564712981
0.01,0.0011690943458282175,0.0011750450384797116
0.01,0.001171446800160099,0.001177409468611888
0.01,0.0011738039879535746,0.0011797786563135162
0.01,0.0011761659186064085,0.0011821526110302862
0.01,0.0011785326015641476,0.0011845313422559148
0.01,0.001180904046482618,0.0011869148596954757
0.01,0.001183280263074436,0.0011893031731111232
0.01,0.0011856612610522221,0.0011916962922650163
0.01,0.0011880470501285944,0.0011940942269193118
0.01,0.0011904376400161726,0.0011964969868361668
0.01,0.001192833040427576,0.0011989045817777403
0.01,0.0011952332610754212,0.0012013170215061867
0.01,0.0011976383116723286,0.001203734315783664
0.01,0.0012000482019309166,0.00120615647437233
0.01,0.0012024629415638055,0.001208583507034343
0.01,0.001204882540283612,0.0012110154235318576
0.01,0.0012073070078029555,0.0012134522336270327
0.01,0.0012097363538344553,0.001215893947082025
0.01,0.001212170588090731,0.001218340573658993
0.01,0.0012146097202843998,0.0012207921231200914
0.01,0.0012170537601383497,0.0012232486052378
0.01,0.0012195027175469397,0.001225710029956946
0.01,0.0012219566025442447,0.0012281764073627899
0.01,0.0012244154251682844,0.001230647747544556
0.01,0.0012268791954570817,0.0012331240605914734
0.01,0.0012293479234486587,0.0012356053565927693
0.01,0.0012318216191810382,0.0012380916456376722
0.01,0.0012343002926922403,0.0012405829378154072
0.01,0.0012367839540202874,0.0012430792432152026
0.01,0.0012392726132032022,0.001245580571926286
0.01,0.001241766280279007,0.0012480869340378861
0.01,0.0012442649652857221,0.0012505983396392272
0.01,0.00124676867826137,0.0012531147988195388
0.01,0.001249277429243973,0.0012556363216680477
0.01,0.001251791228271554,0.001258162918273982
0.01,0.001254310085382133,0.0012606945987265674
0.01,0.0012568340106140113,0.0012632313731153126
0.01,0.001259363014097109,0.0012657732516218132
0.01,0.0012618971061756218,0.0012683202446430388
0.01,0.0012644362972238751,0.0012708723626062442
0.01,0.0012669805976161972,0.0012734296159386867
0.01,0.0012695300177269153,0.001275992015067623
0.01,0.0012720845679303578,0.0012785595704203105
0.01,0.0012746442586008498,0.0012811322924240031
0.01,0.0012772091001127196,0.0012837101915059586
0.01,0.0012797791028402946,0.0012862932780934335
0.01,0.0012823542771579035,0.0012888815626136852
0.01,0.001284934633439871,0.0012914750554939675
0.01,0.0012875201820605254,0.0012940737671615387
0.01,0.0012901109333941939,0.001296677708043655
0.01,0.0012927068978152057,0.0012992868885675732
0.01,0.0012953080856978848,0.0013019013191605483
0.01,0.0012979145074165602,0.0013045210102498375
0.01,0.0013005261733739445,0.0013071459722912278
0.01,0.0013031430941913922,0.001309776215960269
0.01,0.0013057652805903352,0.001312411752033102
0.01,0.0013083927432926757,0.0013150525912863397
0.01,0.0013110254930203131,0.0013176987444965939
0.01,0.0013136635404951494,0.0013203502224404774
0.01,0.0013163068964390818,0.0013230070358945993
0.01,0.0013189555715740124,0.0013256691956355727
0.01,0.0013216095766218413,0.001328336712440009
0.01,0.0013242689223044695,0.001331009597084521
0.01,0.0013269336193437952,0.0013336878603457183
0.01,0.0013296036784617197,0.0013363715130002133
0.01,0.0013322791103801432,0.001339060565824618
0.01,0.001334959925820967,0.001341755029595545
0.01,0.001337646135506089,0.0013444549150896032
0.01,0.0013403377501574108,0.0013471602330834065
0.01,0.0013430347805004402,0.0013498709943571914
0.01,0.001345737237409176,0.001352587209840448
0.01,0.0013484451319518546,0.0013553088906579013
0.01,0.001351158475209596,0.0013580360479472247
0.01,0.0013538772782635184,0.001360768692846091
0.01,0.0013566015521947405,0.0013635068364921744
0.01,0.0013593313080843795,0.0013662504900231447
0.01,0.0013620665570135537,0.0013689996645766757
0.01,0.0013648073100633819,0.0013717543712904402
0.01,0.0013675535783149837,0.0013745146213021118
0.01,0.0013703053728494746,0.0013772804257493614
0.01,0.0013730627047479742,0.0013800517957698619
0.01,0.0013758255850916006,0.0013828287425012866
0.01,0.0013785940249614738,0.0013856112770813088
0.01,0.0013813680354387093,0.0013883994106475993
0.01,0.0013841476276044266,0.0013911931543378313
0.01,0.001386932812539731,0.0013939925192896648
0.01,0.0013897236013880427,0.0013967975167033931
0.01,0.001392520005540987,0.00139960815802879
0.01,0.0013953220364509374,0.0014024244547766874
0.01,0.0013981297055702653,0.0014052464184579182
0.01,0.0014009430243513432,0.0014080740605833149
0.01,0.0014037620042465409,0.0014109073926637063
0.01,0.0014065866567082308,0.0014137464262099259
0.01,0.0014094169931887848,0.0014165911727328047
0.01,0.0014122530251405756,0.0014194416437431764
0.01,0.0014150947640159722,0.0014222978507518699
0.01,0.0014179422212673477,0.0014251598052697177
0.01,0.0014207954083470737,0.0014280275188075524
0.01,0.0014236543367075224,0.0014309010028762063
0.01,0.0014265190178010642,0.0014337802689865084
0.01,0.0014293894630800711,0.0014366653286492924
0.01,0.001432265683996915,0.0014395561933753893
0.01,0.0014351476920182859,0.001442452874690023
0.01,0.0014380354988201955,0.0014453553843288124
0.01,0.001440929116235076,0.0014482637341846018
0.01,0.0014438285560989907,0.0014511779361538852
0.01,0.0014467338302480049,0.0014540980021331587
0.01,0.001449644950518179,0.0014570239440189138
0.01,0.0014525619287455783,0.001459955773707646
0.01,0.0014554847767662663,0.0014628935030958498
0.01,0.0014584135064163073,0.001465837144080021
0.01,0.001461348129531763,0.0014687867085566508
0.01,0.001464288657948698,0.001471742208422235
0.01,0.0014672351035031755,0.001474703655573268
0.01,0.0014701874780312606,0.0014776710619062458
0.01,0.0014731457933690145,0.0014806444393176594
0.01,0.0014761100613525017,0.001483623799704005
0.01,0.0014790802938177857,0.0014866091549617768
0.01,0.0014820565026015104,0.0014896005169880515
0.01,0.0014850386996567082,0.0014925978977968933
0.01,0.0014880268971846002,0.00149560130965183
0.01,0.0014910211074177975,0.001498610764847941
0.01,0.0014940213425889122,0.0015016262756803074
0.01,0.0014970276149305524,0.0015046478544440062
0.01,0.0015000399366753303,0.0015076755134341181
0.01,0.0015030583200558566,0.0015107092649457225
0.01,0.0015060827773047437,0.001513749121273901
0.01,0.0015091133206545995,0.0015167950947137302
0.01,0.0015121499623380363,0.0015198471975602908
0.01,0.0015151927145876651,0.0015229054421086628
0.01,0.0015182415896360976,0.0015259698406539267
0.01,0.0015212965997159426,0.00152904040549116
0.01,0.0015243577570598116,0.0015321171489154429
0.01,0.001527425073900316,0.0015352000832218556
0.01,0.0015304985624700665,0.0015382892207054773
0.01,0.0015335782350395122,0.0015413845736994205
0.01,0.0015366641041413707,0.0015444861548004128
0.01,0.0015397561824177747,0.0015475939767151622
0.01,0.0015428544825111684,0.0015507080521506892
0.01,0.0015459590170639973,0.0015538283938140158
0.01,0.0015490697987187033,0.0015569550144121605
0.01,0.0015521868401177313,0.0015600879266521443
0.01,0.0015553101539035265,0.0015632271432409887
0.01,0.0015584397527185336,0.0015663726768857151
0.01,0.0015615756492051945,0.0015695245402933418
0.01,0.0015647178560059551,0.001572682746170891
0.01,0.0015678663857632588,0.0015758473072253827
0.01,0.001571021251119552,0.0015790182361638395
0.01,0.0015741824647172759,0.0015821955456932794
0.01,0.0015773500391988758,0.0015853792485207236
0.01,0.0015805239872067965,0.0015885693573531937
0.01,0.0015837043213889138,0.0015917658849031694
0.01,0.0015868910545773509,0.0015949688440683252
0.01,0.001590084199825304,0.0015981782479685463
0.01,0.0015932837701987809,0.0016013941097365982
0.01,0.0015964897787637924,0.001604616442505247
0.01,0.0015997022385863446,0.0016078452594072553
0.01,0.001602921162732448,0.0016110805735753899
0.01,0.0016061465642681113,0.0016143223981424156
0.01,0.0016093784562593453,0.001617570746241099
0.01,0.0016126168517721555,0.0016208256310042024
0.01,0.0016158617638725528,0.0016240870655644926
0.01,0.0016191132056265457,0.001627355063054735
0.01,0.001622371190100145,0.0016306296366076956
0.01,0.0016256357303593564,0.001633910799356137
0.01,0.0016289068394701903,0.0016371985644328259
0.01,0.001632184530498656,0.0016404929449705273
0.01,0.0016354688165107372,0.0016437939541019816
0.01,0.001638759710653394,0.00164710160504132
0.01,0.0016420572263656384,0.0016504159112962313
0.01,0.0016453613771512355,0.001653736886439491
0.01,0.001648672176513952,0.0016570645440438768
0.01,0.0016519896379575498,0.0016603988976821617
0.01,0.0016553137749857956,0.0016637399609271224
0.01,0.0016586446011024546,0.0016670877473515353
0.01,0.0016619821298112934,0.0016704422705281774
0.01,0.0016653263746160738,0.0016738035440298216
0.01,0.0016686773490205626,0.0016771715814292455
0.01,0.0016720350665285243,0.0016805463962992245
0.01,0.0016753995406437263,0.0016839280022125365
0.01,0.0016787707848699306,0.0016873164127419534
0.01,0.001682148812710903,0.0016907116414602535
0.01,0.0016855336376704092,0.001694113701940212
0.01,0.0016889252732522155,0.0016975226077546068
0.01,0.0016923237329798683,0.0017009383724960957
0.01,0.0016957290306317521,0.0017043610100134878
0.01,0.0016991411801607888,0.0017077905343310302
0.01,0.0017025601955231676,0.001711226959476256
0.01,0.0017059860906750738,0.0017146702994766923
0.01,0.0017094188795726969,0.0017181205683598718
0.01,0.0017128585761722254,0.0017215777801533251
0.01,0.001716305194429849,0.0017250419488845847
0.01,0.0017197587483017522,0.0017285130885811785
0.01,0.0017232192517441256,0.0017319912132706388
0.01,0.0017266867187131565,0.0017354763369804964
0.01,0.0017301611631650351,0.0017389684737382839
0.01,0.0017336425990559464,0.001742467637571529
0.01,0.0017371310403420802,0.0017459738425077637
0.01,0.0017406265009796242,0.0017494871025745195
0.01,0.0017441289949247686,0.0017530074317993285
0.01,0.001747638536134784,0.0017565348442108097
0.01,0.0017511551387142258,0.0017600693539856242
0.01,0.0017546788170543358,0.0017636109755886007
0.01,0.0017582095855788852,0.001767159723517265
0.01,0.0017617474587116406,0.001770715612269138
0.01,0.001765292450876373,0.0017742786563417462
0.01,0.0017688445764968527,0.0017778488702326143
0.01,0.0017724038499968508,0.001781426268439268
0.01,0.001775970285800133,0.001785010865459229
0.01,0.001779543898330472,0.0017886026757900234
0.01,0.0017831247020116364,0.0017922017139291755
0.01,0.0017867127112673976,0.0017958079943742118
0.01,0.0017903079405215225,0.001799421531622653
0.01,0.0017939104041977826,0.0018030423401720259
0.01,0.0017975201167199466,0.0018066704345198544
0.01,0.0018011370925117868,0.0018103058291636647
0.01,0.001804761345997069,0.0018139485386009788
0.01,0.0018083928916497575,0.0018175985773797724
0.01,0.0018120317442575696,0.0018212559603633955
0.01,0.0018156779187273426,0.0018249207025349348
0.01,0.0018193314299660911,0.0018285928188776542
0.01,0.0018229922928808347,0.0018322723243748237
0.01,0.00182666052237859,0.0018359592340097103
0.01,0.0018303361333663773,0.0018396535627655838
0.01,0.0018340191407512103,0.0018433553256257083
0.01,0.0018377095594401085,0.0018470645375733537
0.01,0.0018414074043400894,0.0018507812135917867
0.01,0.0018451126903581726,0.0018545053686642775
0.01,0.001848825432401372,0.00185823701777409
0.01,0.0018525456453767073,0.0018619761759044932
0.01,0.0018562733441911956,0.0018657228580387557
0.01,0.0018600085437518567,0.0018694770791601461
0.01,0.0018637512589657046,0.0018732388542519293
0.01,0.0018675015047477802,0.0018770081983054364
0.01,0.001871259296241028,0.0018807851265410795
0.01,0.0018750246488392858,0.001884569654431462
0.01,0.0018787975779490072,0.0018883617974618679
0.01,0.0018825780989766504,0.0018921615711175882
0.01,0.001886366227328673,0.0018959689908839108
0.01,0.001890161978411533,0.0018997840722461258
0.01,0.0018939653676316845,0.0019036068306895182
0.01,0.001897776410395586,0.001907437281699378
0.01,0.001901595122109694,0.0019112754407609935
0.01,0.0019054215181804675,0.0019151213233596547
0.01,0.00190925561401436,0.0019189749449806466
0.01,0.00191309742501783,0.0019228363211092592
0.01,0.0019169469665973348,0.0019267054672307809
0.01,0.0019208042541593326,0.001930582398830501
0.01,0.0019246693031102775,0.0019344671313937056
0.01,0.0019285421288566045,0.0019383596804056612
0.01,0.0019324227469095744,0.0019422600614569991
0.01,0.001936311173123032,0.0019461682904827091
0.01,0.001940207423419604,0.0019500843834869199
0.01,0.001944111513721923,0.0019540083564737656
0.01,0.0019480234599526182,0.0019579402254473787
0.01,0.0019519432780343226,0.0019618800064118923
0.01,0.001955870983889662,0.0019658277153714356
0.01,0.0019598065934412694,0.0019697833683301426
0.01,0.0019637501226117734,0.0019737469812921454
0.01,0.0019677015873238086,0.0019777185702615782
0.01,0.001971661003499999,0.0019816981512425697
0.01,0.0019756283870629777,0.001985685740239253
0.01,0.0019796037539353754,0.001989681353255762
0.01,0.001983587120039821,0.0019936850062962277
0.01,0.0019875785012989484,0.0019976967153647837
0.01,0.001991577913635382,0.00200171649646556
0.01,0.0019955853729988755,0.002005744365629948
0.01,0.001999600895648574,0.002009780339200337
0.01,0.0020036244980377203,0.00201382443371422
0.01,0.002007656196622409,0.0020178766657119557
0.01,0.0020116960078587405,0.0020219370517339107
0.01,0.002015743948202813,0.0020260056083204474
0.01,0.0020198000341107272,0.0020300823520119308
0.01,0.0020238642820385763,0.002034167299348722
0.01,0.002027936708442462,0.0020382604668711854
0.01,0.0020320173297784807,0.0020423618711196837
0.01,0.0020361061625027337,0.002046471528634583
0.01,0.0020402032230713153,0.0020505894559562426
0.01,0.0020443085279403255,0.0020547156696250285
0.01,0.0020484220935658632,0.0020588501861813027
0.01,0.0020525439364040272,0.0020629930221654313
0.01,0.0020566740729109135,0.0020671441941177747
0.01,0.002060812519544526,0.0020713037185806104
0.01,0.002064959292948511,0.002075471612282822
0.01,0.002069114410096804,0.002079647892285291
0.01,0.0020732778879968415,0.0020838325756825796
0.01,0.002077449743656065,0.0020880256795692536
0.01,0.002081629994081916,0.002092227221039879
0.01,0.0020858186562818367,0.002096437217189021
0.01,0.0020900157472632636,0.0021006556851112424
0.01,0.0020942212840336398,0.0021048826419011075
0.01,0.002098435283600406,0.002109118104653184
0.01,0.002102657762971003,0.002113362090462037
0.01,0.0021068887391528695,0.002117614616422228
0.01,0.002111128229153448,0.0021218756996283232
0.01,0.0021153762499801776,0.0021261453571748876
0.01,0.002119632818640502,0.0021304236061564885
0.01,0.0021238979521418576,0.0021347104636676864
0.01,0.0021281716674916872,0.0021390059468030485
0.01,0.0021324539817637158,0.002143310072723765
0.01,0.002136744912405979,0.0021476228589672824
0.01,0.0021410444769956473,0.002151944323200852
0.01,0.0021453526931099784,0.002156274483091815
0.01,0.0021496695783262292,0.0021606133563075113
0.01,0.0021539951502216577,0.0021649609605152815
0.01,0.002158329426373517,0.0021693173133824606
0.01,0.002162672424359064,0.0021736824325763906
0.01,0.0021670241617555565,0.0021780563357644096
0.01,0.0021713846561402512,0.00218243904061386
0.01,0.0021757539250904017,0.002186830564792076
0.01,0.0021801319861832658,0.002191230925966399
0.01,0.0021845188569960994,0.002195640141804168
0.01,0.0021889145551061613,0.0022000582299727244
0.01,0.002193319098090704,0.0022044852081394032
0.01,0.002197732503526985,0.0022089210939715462
0.01,0.002202154789003921,0.002213365905148211
0.01,0.0022065859723914712,0.0022178196596309577
0.01,0.00221102607184351,0.002222282375666742
0.01,0.002215475105526204,0.002226754071514874
0.01,0.0022199330916057164,0.002231234765434662
0.01,0.002224400048248216,0.002235724475685419
0.01,0.002228875993619861,0.0022402232205264495
0.01,0.002233360945886819,0.002244731018217065
0.01,0.0022378549232152534,0.0022492478870165733
0.01,0.0022423579437713323,0.0022537738451842873
0.01,0.002246870025721215,0.002258308910979511
0.01,0.002251391187231067,0.0022628531026615563
0.01,0.0022559214464670553,0.002267406438489732
0.01,0.0022604608215953444,0.0022719689367233487
0.01,0.002265009330782095,0.0022765406156217125
0.01,0.0022695669921934734,0.002281121493444135
0.01,0.002274133823995672,0.0022857115884499517
0.01,0.0022787098444900216,0.0022903109190343385
0.01,0.0022832950723785266,0.002294919503995233
0.01,0.0022878895264359946,0.002299537362203755
0.01,0.0022924932254372297,0.002304164512531024
0.01,0.002297106188157039,0.0023088009738481607
0.01,0.0023017284333702237,0.0023134467650262787
0.01,0.00230635997985159,0.002318101904936499
0.01,0.0023110008463759443,0.002322766412449941
0.01,0.002315651051718091,0.0023274403064377247
0.01,0.002320310614652833,0.002332123605770965
0.01,0.0023249795539549757,0.002336816329320782
0.01,0.002329657888399325,0.0023415184959582943
0.01,0.0023343456367606883,0.002346230124554623
0.01,0.002339042817813865,0.002350951233980883
0.01,0.002343749450333662,0.002355681843108194
0.01,0.002348465553094885,0.002360421970807676
0.01,0.002353191144909246,0.002365171635987544
0.01,0.002357926244963087,0.0023699308579325958
0.01,0.0023626708726578348,0.0023746996561438386
0.01,0.0023674250473973263,0.0023794780501247047
0.01,0.0023721887885854043,0.00238426605937863
0.01,0.0023769621156259028,0.0023890637034090422
0.01,0.0023817450479226626,0.002393871001719378
0.01,0.002386537604879524,0.0023986879738130684
0.01,0.0023913398059003258,0.002403514639193549
0.01,0.002396151670388904,0.002408351017364249
0.01,0.0024009732177491,0.002413197127828603
0.01,0.0024058044673847517,0.002418052990090044
0.01,0.002410645438699701,0.0024229186236520072
0.01,0.002415496151097782,0.002427794048017921
0.01,0.0024203566239828357,0.002432679282691221
0.01,0.0024252268767587016,0.002437574347175339
0.01,0.0024301069288324,0.002442479260976906
0.01,0.002434996799844079,0.002447394043836894
0.01,0.0024398965098133937,0.0024523187158777666
0.01,0.0024448060787942935,0.0024572532972564616
0.01,0.00244972552684073,0.0024621978081299217
0.01,0.0024546548740066506,0.0024671522686550824
0.01,0.0024595941403460055,0.002472116698988885
0.01,0.0024645433459127464,0.00247709111928827
0.01,0.002469502510760825,0.0024820755497101795
0.01,0.0024744716549441863,0.0024870700104115484
0.01,0.0024794507985167837,0.0024920745215493193
0.01,0.0024844399615325673,0.0024970891032804303
0.01,0.0024894391640454885,0.0025021137757618253
0.01,0.0024944484261094934,0.0025071485591504393
0.01,0.0024994677677785348,0.002512193473603213
0.01,0.002504497209106562,0.0025172485392770867
0.01,0.0025095367701475275,0.0025223137763290037
0.01,0.002514586471042552,0.0025273892050035243
0.01,0.002519646332378046,0.002532474845992831
0.01,0.0025247163748798344,0.002537570720129255
0.01,0.002529796619273764,0.0025426768482451467
0.01,0.002534887086285676,0.002547793251172853
0.01,0.002539987796641417,0.0025529199497447254
0.01,0.0025450987710668315,0.0025580569647931143
0.01,0.0025502200302877673,0.0025632043171503727
0.01,0.0025553515950300634,0.0025683620276488444
0.01,0.002560493486019568,0.002573530117120884
0.01,0.0025656457239821256,0.0025787086063988394
0.01,0.002570808329643581,0.002583897516315062
0.01,0.0025759813237297815,0.0025890968677019038
0.01,0.0025811647269665676,0.0025943066813917098
0.01,0.0025863585600797855,0.002599526978216833
0.01,0.0025915628437952806,0.002604757779009624
0.01,0.0025967775988556146,0.0026099991046192343
0.01,0.00260200284634888,0.002615250976242155
0.01,0.0026072386076835302,0.0026205134153969214
0.01,0.0026124849042798194,0.002625786443613932
0.01,0.002617741757558002,0.002631070082423588
0.01,0.0026230091889383263,0.0026363643533562835
0.01,0.002628287219841048,0.0026416692779424188
0.01,0.002633575871686422,0.0026469848777123934
0.01,0.002638875165894702,0.0026523111741966077
0.01,0.0026441851238861373,0.0026576481889254554
0.01,0.0026495057670809833,0.002662995943429338
0.01,0.0026548371168994937,0.0026683544592386536
0.01,0.0026601791947619235,0.002673723757883804
0.01,0.002665532022088521,0.0026791038608951815
0.01,0.0026708956202995426,0.0026844947898031894
0.01,0.0026762700108152416,0.0026898965661382233
0.01,0.002681655215056048,0.0026953092114308636
0.01,0.002687051254615866,0.002700732747386062
0.01,0.0026924581515559006,0.0027061671961785324
0.01,0.002697875928014081,0.0027116125800601197
0.01,0.00270330460612834,0.0027170689212826712
0.01,0.002708744208036603,0.002722536242098027
0.01,0.0027141947558768013,0.002728014564758034
0.01,0.002719656271786866,0.002733503911514538
0.01,0.002725128777904729,0.002739004304619385
0.01,0.002730612296368316,0.0027445157663244153
0.01,0.0027361068493155587,0.0027500383188814774
0.01,0.0027416124588843863,0.0027555719845424147
0.01,0.0027471291472127334,0.0027611167855590753
0.01,0.0027526569364385222,0.0027666727441832983
0.01,0.0027581958486996875,0.0027722398826669327
0.01,0.0027637459061341583,0.0027778182232618214
0.01,0.0027693071308798663,0.0027834077882198127
0.01,0.0027748795451246304,0.0027890085998428975
0.01,0.0027804631715086995,0.002794620680887877
0.01,0.0027860580329097735,0.00280024405435026
0.01,0.002791664152207511,0.002805878743227523
0.01,0.0027972815522815607,0.002811524770517134
0.01,0.00280291025601158,0.00281718215921657
0.01,0.002808550286277225,0.002822850932323305
0.01,0.002814201665958151,0.002828531112834815
0.01,0.0028198644179340104,0.0028342227237485684
