xi,U_eps_1e-02,U_eps_1e-04,U_eps_1e-06,U_eps_1e-08
-0.6,0.7314907470630059,0.5178561405501277,0.4882217461317586,0.4828437742872827
-0.5995,0.7319267922984827,0.5181356633467901,0.48848272989986574,0.4831014615195772
-0.599,0.7323631484026293,0.5184153633658989,0.4887438740620312,0.48335930629600726
-0.5985,0.7327998155017151,0.5186952407737132,0.489005178757738,0.4836173087519333
-0.598,0.7332367937207128,0.5189752957364981,0.4892666441267304,0.48387546902287454
-0.5975,0.7336740831839426,0.519255528420965,0.4895282703090757,0.4841337872445915
-0.597,0.7341116840144114,0.5195359389945907,0.4897900574448734,0.4843922635529983
-0.5965,0.7345495963344651,0.519816527624927,0.49005200567451235,0.4846508980842575
-0.596,0.7349878202651197,0.5200972944795262,0.4903141151386821,0.4849096909746802
-0.5955,0.7354263559267211,0.5203782397259991,0.4905763859781037,0.48516864236083246
-0.595,0.7358652034382692,0.5206593635326947,0.490838818333816,0.4854277523794246
-0.5945,0.7363043629180849,0.5209406660684642,0.4911014123471335,0.48568702116742796
-0.594,0.7367438344831253,0.5212221475021689,0.49136416815940515,0.4859464488619545
-0.5935,0.7371836182496612,0.5215038080026694,0.49162708591232396,0.4862060356003817
-0.593,0.7376237143325818,0.5217856477390459,0.4918901657478328,0.48646578152022557
-0.5925,0.738064122846081,0.5220676668812618,0.4921534078079145,0.4867256867592721
-0.592,0.7385048439029543,0.5223498655995036,0.4924168122349209,0.48698575145544293
-0.5915,0.738945877615293,0.5226322440639579,0.4926803791714262,0.48724597574693407
-0.591,0.7393872240937721,0.5229148024448207,0.4929441087600543,0.4875063597720755
-0.5905,0.7398288834483543,0.5231975409127974,0.49320800114381885,0.4877669036694747
-0.59,0.7402708557875682,0.5234804596393545,0.4934720564659296,0.4880276075778723
-0.5895,0.740713141219221,0.5237635587960212,0.4937362748696579,0.4882884716362886
-0.589,0.7411557398496683,0.5240468385543263,0.4940006564986834,0.4885494959838775
-0.5885,0.7415986517845352,0.5243302990858755,0.49426520149685466,0.4888106807600737
-0.588,0.7420418771279776,0.5246139405630753,0.494529910008098,0.4890720261044466
-0.5875,0.7424854159834119,0.5248977631588081,0.4947947821767616,0.48933353215684705
-0.587,0.7429292684527669,0.5251817670459619,0.4950598181473373,0.48959519905727145
-0.5865,0.743373434637223,0.5254659523974251,0.49532501806441376,0.4898570269459612
-0.586,0.7438179146364554,0.5257503193863501,0.49559038207301054,0.49011901596335933
-0.5855,0.7442627085493814,0.5260348681868039,0.4958559103182667,0.4903811662501189
-0.585,0.7447078164733947,0.5263195989730519,0.49612160294544144,0.4906434779471042
-0.5845,0.745153238505122,0.5266045119193591,0.49638746010022755,0.4909059511953909
-0.584,0.7455989747396483,0.5268896072000053,0.4966534819284165,0.4911685861362664
-0.5835,0.7460450252712821,0.5271748849898471,0.4969196685759452,0.491431382911231
-0.583,0.7464913901927717,0.5274603454644937,0.4971860201891824,0.4916943416619977
-0.5825,0.7469380695960796,0.5277459887996043,0.4974525369145762,0.4919574625304932
-0.582,0.7473850635715895,0.5280318151708394,0.49771921889874976,0.49222074565885815
-0.5815,0.7478323722088901,0.5283178247539567,0.49798606628874914,0.4924841911894476
-0.581,0.7482799955959719,0.5286040177255789,0.4982530792316853,0.49274779926483186
-0.5805,0.7487279338200217,0.5288903942627742,0.4985202578748738,0.49301157002779694
-0.58,0.7491761869666088,0.5291769545426149,0.49878760236604136,0.49327550362134487
-0.5795,0.7496247551204893,0.5294636987421736,0.4990551128529666,0.493539600188694
-0.579,0.750073638364783,0.529750627038838,0.4993227894836654,0.49380385987328046
-0.5785,0.7505228367817864,0.5300377396109375,0.4995906324065469,0.4940682828187576
-0.578,0.7509723504521412,0.5303250366369746,0.4998586417700639,0.4943328691689972
-0.5775,0.7514221794556556,0.5306125182954528,0.5001268177229383,0.4945976190680897
-0.577,0.7518723238704638,0.5309001847648966,0.5003951604142656,0.4948625326603451
-0.5765,0.752322783773857,0.5311880362244797,0.5006636699931781,0.4951276100902928
-0.576,0.7527735592414326,0.5314760728541139,0.5009323466091105,0.49539285150268303
-0.5755,0.7532246503479361,0.5317642948337521,0.5012011904118469,0.4956582570424865
-0.575,0.7536760571663984,0.5320527023433468,0.5014702015512066,0.4959238268548959
-0.5745,0.754127779768989,0.5323412955629757,0.5017393801773423,0.49618956108532547
-0.574,0.754579818226144,0.5326300746736433,0.5020087264407306,0.4964554598794121
-0.5735,0.7550321726074269,0.5329190398567684,0.5022782404918837,0.4967215233830157
-0.573,0.7554848429806487,0.5332081912937724,0.5025479224816786,0.49698775174222026
-0.5725,0.7559378294127379,0.533497529166077,0.5028177725612872,0.4972541451033334
-0.572,0.7563911319688498,0.5337870536554784,0.5030877908819222,0.49752070361288786
-0.5715,0.7568447507132476,0.5340767649447337,0.5033579775951896,0.49778742741764137
-0.571,0.7572986857084018,0.5343666632167516,0.503628332852961,0.4980543166645779
-0.5705,0.7577529370158793,0.5346567486544415,0.5038988568071567,0.4983213715009074
-0.57,0.758207504695435,0.5349470214407437,0.5041695496101161,0.4985885920740672
-0.5695,0.7586623888059103,0.5352374817593218,0.5044404114144146,0.49885597853172187
-0.569,0.7591175894043127,0.5355281297945613,0.504711442372688,0.4991235310217643
-0.5685,0.7595731065467279,0.5358189657308787,0.5049826426380132,0.4993912496923159
-0.568,0.760028940287386,0.5361099897526906,0.5052540123636743,0.49965913469172735
-0.5675,0.7604850906795846,0.5364012020445704,0.5055255517030295,0.49992718616857906
-0.567,0.7609415577747461,0.5366926027920792,0.5057972608098983,0.5001954042716821
-0.5665,0.7613983416233494,0.5369841921811599,0.5060691398382767,0.500463789150078
-0.566,0.7618554422739775,0.5372759703977571,0.5063411889422551,0.5007323409530404
-0.5655,0.7623128597742597,0.5375679376278166,0.5066134082763981,0.5010010598300746
-0.565,0.7627705941699078,0.5378600940577243,0.5068857979954189,0.5012699459309188
-0.5645,0.7632286455056696,0.538152439874841,0.5071583582541483,0.5015389994055444
-0.564,0.7636870138243549,0.5384449752666589,0.5074310892078993,0.5018082204041563
-0.5635,0.7641456991677983,0.5387377004206702,0.5077039910121073,0.5020776090771946
-0.563,0.7646047015758755,0.5390306155244112,0.5079770638223531,0.502347165575334
-0.5625,0.765064021087476,0.5393237207662194,0.5082503077946994,0.5026168900494847
-0.5619999999999999,0.7655236577395089,0.5396170163351327,0.5085237230853107,0.5028867826507932
-0.5615,0.7659836115678872,0.539910502420212,0.5087973098505256,0.5031568435306429
-0.5609999999999999,0.7664438826065214,0.5402041792105183,0.5090710682471604,0.5034270728406544
-0.5605,0.766904470888315,0.5404980468953074,0.5093449984321133,0.5036974707326863
-0.5599999999999999,0.7673653764441475,0.5407921056648811,0.50961910056249,0.5039680373588363
