epsilon,u0_minus1_rerun,u0_minus1_archived,u0_relative_difference,x_cross_rerun,x_cross_archived,x_cross_relative_difference,u_xx0_rerun,u_xx0_archived,u_xx0_relative_difference
0.0001,0.05098245439162907,0.050982454382765496,1.738554302005851e-10,0.0607520695070847,0.0607520694922723,2.4381723008470806e-10,-33.72895674925939,-33.728956751374255,6.270180603962948e-11
1e-05,0.023056975897592258,0.02305697589363298,1.7171711367020857e-10,0.02613833027310513,0.0261383302795088,2.4499151985019557e-10,-80.20631376931722,-80.20631372830846,5.112909311664276e-10
1e-06,0.010534781318234376,0.010534781315939323,2.1785483416088238e-10,0.011376722748560839,0.011376722748115324,3.916023642407212e-11,-189.93106101371936,-189.93106110832034,4.980806044363705e-10
1e-07,0.004849585469968831,0.004849585472802342,5.842790521662823e-10,0.005000957754031469,0.005000957760508113,1.295080872806823e-09,-446.6562689912367,-446.65626847926495,1.146232059125897e-09
1e-08,0.002244413390862121,0.002244413391647715,3.50021887745031e-10,0.002216054528600668,0.0022160545312551712,1.197851097885797e-09,-1042.7429525527325,-1042.7429512462643,1.2529149385830972e-09
