epsilon,xmax,nodes,max_rms_residual,max_bc_residual,u0_minus1,x_cross,u_xx0,u0_rel_to_xmax20,x_cross_rel_to_xmax20,u_xx0_rel_to_xmax20
1e-08,12.0,4658,9.970761839996558e-07,6.938893903907228e-18,0.002244413390956934,0.0022160545288598915,-1042.7429524313077,4.224402094953145e-11,1.1697529496565344e-10,1.1644750832124136e-10
1e-08,16.0,4871,9.97360389532814e-07,1.0842021724855044e-19,0.002244413390956934,0.0022160545288598915,-1042.7429524313077,4.224402094953145e-11,1.1697529496565344e-10,1.1644750832124136e-10
1e-08,20.0,7206,9.970821570508763e-07,3.3881317890172014e-21,0.002244413390862121,0.002216054528600668,-1042.7429525527325,0.0,0.0,0.0
