epsilon,xmax,L_epsilon,solver,tol,bc_tol,nodes,max_rms_residual,max_bc_residual,wall_seconds,u0_minus1,x_cross,u_xx0,scaled_overshoot,scaled_cross,scaled_curvature,overshoot_O1,overshoot_O2,cross_O1,cross_O2,curvature_O1,curvature_O2,overshoot_relerr_O1,overshoot_relerr_O2,cross_relerr_O1,cross_relerr_O2,curvature_relerr_O1,curvature_relerr_O2
0.0001,20.0,2.1256128844333344,scipy.integrate.solve_bvp,1e-06,1e-10,1747,9.963778693937646e-07,1.2465818939856189e-34,0.10378517099991313,0.05098245439162907,0.0607520695070847,-33.72895674925939,0.8542651340211568,1.4841408046888374,0.9469930518297107,0.9138774124573362,0.9167972663176688,1.7966817547834957,1.4385569744063749,0.832070407543724,0.9775614654438227,0.0697819401285586,0.07319991160374728,0.21058712832855853,0.030713952570032278,0.1213553194122614,0.032279448677104805
1e-05,20.0,2.8011511546464045,scipy.integrate.solve_bvp,1e-06,1e-10,1779,9.919649308313375e-07,1.0587911840678754e-22,0.060803501999998844,0.023056975897592258,0.02613833027310513,-80.20631376931722,0.7592011035317221,1.4404579959168575,0.8695959874092907,0.7883369649942178,0.7900183082021386,1.630855851711285,1.4246363983148707,0.797779226779716,0.8815575299807117,0.03837700093816881,0.04059162259783101,0.1321786933976082,0.010983727152638253,0.08258635236293108,0.013755287219133754
1e-06,20.0,3.4949195528792516,scipy.integrate.solve_bvp,1e-06,1e-10,2355,9.810791932101707e-07,2.117582368135751e-22,0.16005107599994517,0.010534781318234376,0.011376722748560839,-189.93106101371936,0.69419230789672,1.4014901130833055,0.8247162249827563,0.709922674239259,0.7110027521800116,1.5272787111086275,1.3948054114763768,0.7763604834735022,0.8301788215586715,0.02265995483326403,0.024215831970573493,0.08975346800598157,0.004769710142458455,0.0586331880523694,0.006623607503331714
1e-07,20.0,4.2011023821618645,scipy.integrate.solve_bvp,1e-06,1e-10,4413,9.870380236887786e-07,8.470329472543003e-22,0.9306975800000146,0.004849585469968831,0.005000957754031469,-446.6562689912367,0.6475155404035362,1.3686121675879237,0.7962777674806801,0.656703131606529,0.6574506173812316,1.4569812181770752,1.3653008835763973,0.761823646991914,0.7990695165897715,0.014188989498641329,0.015343379977419146,0.0645683654448983,0.002419446567804706,0.04326897207964823,0.0035059990660346397
1e-08,20.0,4.916232255616091,scipy.integrate.solve_bvp,1e-06,1e-10,7206,9.970821570508763e-07,3.3881317890172014e-21,4.533099902000004,0.002244413390862121,0.002216054528600668,-1042.7429525527325,0.6126682676581913,1.34127915278098,0.7770023555162864,0.6183903489137512,0.6189361880605033,1.4063740081692746,1.3394259573755403,0.7513585691350251,0.7785567505177067,0.00933960767615977,0.010230528873757404,0.048531922123242074,0.0013816627221837714,0.033003486024469064,0.0020005023027085452
