epsilon,u(0)-1,x_cross,head_width,max_abs_u_x,x_at_max_slope,u_xx(0),L_epsilon,scaled_overshoot,scaled_cross,scaled_curvature,scaled_slope
0.01,0.25884275663541656,0.33787278911835855,0.6757455782367171,1.1320022163095582,0.3309816569735682,-6.162316216000988,0.8832804046712036,1.2521888079006998,1.5361595184361678,1.4421538141929462,1.204475524121633
0.001,0.11418194406372795,0.14284174840870548,0.28568349681741095,1.2798417736625676,0.16565944551493159,-14.244855608191084,1.4789857332728014,1.0021731694660097,1.5246932870319938,1.0973589960024421,1.0523841268111063
0.0001,0.050982454382765496,0.0607520694922723,0.1215041389845446,1.4471039616460368,0.08109645460236498,-33.728956751374255,2.1256128844333344,0.8542651338726381,1.4841408043269784,0.9469930518890888,0.9925620027423246
1e-05,0.02305697589363298,0.0261383302795088,0.0522766605590176,1.6197925382587446,0.03911557747421936,-80.20631372830846,2.8011511546464045,0.7592011034013543,1.4404579962697575,0.8695959869646742,0.9678122651887141
1e-06,0.010534781315939323,0.011376722748115324,0.022753445496230647,1.790371871378699,0.018680315414283916,-189.93106110832034,3.4949195528792516,0.6941923077454869,1.4014901130284227,0.8247162253935314,0.9576893420846847
1e-07,0.004849585472802342,0.005000957760508113,0.010001915521016227,1.9555004035441719,0.008857595346700208,-446.65626847926495,4.2011023821618645,0.647515540781866,1.368612169360387,0.7962777665679609,0.9540612942886153
1e-08,0.002244413391647715,0.0022160545312551712,0.0044321090625103424,2.1140044373772557,0.0041803125188868695,-1042.7429512462643,4.916232255616091,0.6126682678726385,1.3412791543876328,0.7770023545427684,0.9534319441909809
