epsilon,L_epsilon,overshoot_obs,overshoot_O1,overshoot_O2,cross_obs,cross_O1,cross_O2,curvature_obs,curvature_O1,curvature_O2,slope_obs,slope_O1,slope_O2,Xmax_slope_O2
0.0001,2.1256128844333344,0.854265,0.9138774124646806,0.9167972663174839,1.484141,1.7966817548243428,1.4385569744391755,0.946993,0.8320704075328162,0.9775614654321421,0.992562,0.9258549068751386,1.027346670611105,1.9518534961662832
1e-05,2.8011511546464045,0.759201,0.7883369649991931,0.7900183082027784,1.440458,1.630855851747199,1.4246363983461512,0.869596,0.7977792267693519,0.8815575299699026,0.967812,0.9277158793407914,0.9819489401243144,2.1335586691943966
1e-06,3.4949195528792516,0.694192,0.7099226742427546,0.7110027521807221,1.40149,1.5272787111414603,1.3948054115062332,0.824716,0.7763604834634774,0.8301788215483609,0.957689,0.9319769052467982,0.964472359393383,2.285954967023082
1e-07,4.2011023821618645,0.647516,0.6567031316090204,0.6574506173817954,1.368612,1.4569812182078168,1.365300883605079,0.796278,0.7618236469821196,0.7990695165797793,0.954061,0.9366315646387914,0.9577508104814871,2.4141787315663024
1e-08,4.916232255616091,0.612668,0.6183903489155194,0.6189361880608639,1.341279,1.4063740081985108,1.3394259574032723,0.777002,0.7513585691253966,0.7785567505079337,0.953432,0.9410549140488736,0.9556334269368317,2.52336245975264
